(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, 30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, 30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, 30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, 30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, 30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, 30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, 30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, 30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, 30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, 30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, 30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, 30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, 30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, 30),
